"brf_brf_id","brk_fi_id","brf_indirect_connector_id","brt_payment_req_ref_num","brt_processing_status","brt_participant_req_ref","brt_participant_endtoend_id","brt_req_processing_date","brt_account_number","brt_requested_amount","brt_ccf_endpoint_version","brt_fi_id","brt_org_message_id","payer_primary_name","payer_address1","payer_address2","payer_city","payer_postal_code","payer_province_code","payer_country_iso_code","payer_fi_userid","brt_cancel_participant_req_ref","brF_cancel_org_message_id","brf_cancel_fi_creation_date","pr_date_updated","pr_payment_req_status","prhd_payment_req_status"
"97532","WATw*-Naj|Z-7Z,","CA000001","9Ur13>LT,pSP00D","0","|ZvDML.dYojYMG4718bwH50LkIP9.Z","W8zFwa:|FIMX1n0Y.uGYi2JySOy8,Z","2026-08-30 12:04:02.000000","","-1.68298","FaN2","CA000003","Ctmh+JLG-w-Bvf=w;HRMfyTYpDyCxd","Samantha Novak","","Jennifer Arnold","Randall Lee","Vq8qAk-+","Oh","US","CA000001","M=,E|0gW<-x>pFwG8|-auz-Ur4qRPj","qGaZ;WqBa9<pVH;CKPGeOKG;F-PwRp","2026-07-08 15:21:40.000000","2026-06-14 18:51:01.000000","5","2"
"97533","lEnZ+6vD+4DufF<","CA000001","goAbgn7<2+=-v16","0","na+9SZm7:qMW3plwmX-:l<EgL>|bEp",">2PgExU8Qad=El9+33uI5F|6tsQq0Z","2027-03-11 07:13:14.000000","6ZiUCQ>8hbb|udU6ktJz;I0C9jau9u","7.19800","OoQf","CA000004","989fZ4LTz>BOLS,kV3NVpCn42X3U5d","Patricia Daniel","","Michael Murray","Terry Mitchell","5a:mR+9I","3h","US","CA000001","fQ->Ad<W7dgj05Ibb0qyw08Vc46LEL","K=b3r+zKB6aIpZG0PNw:YlZoV+b+PZ","2026-12-26 13:47:24.000000","","2","3"
"97534","OLFmVq5XLf8m+go","CA000004","Mt7aY69dGGs**R4","4","CgeTH7GYv9=IG.6i.Z+UPhP=vTl1U:","-+uBy7u*,/wS:RtKL-Ll6yZcx+6BDy","2026-11-26 06:58:47.000000","QtVn0|8c0JcYu=oiMGUGbYP>f9F5to","3.10038","tO<9","CA000002","t,ZuAf8/LAcLCnEs<dW:K+g=N*Qug>","Karen Welch","","Amy Morales DDS","Katrina Miles","NFNcpGT2","mz","CA","CA000001","P+bmOvA/qi-sEy+<dfudpY*f6foMy/","dr<YPsIZpZ5>6Z<evmF4s|oK6n|11g","2026-06-30 11:15:42.000000","","1","5"
"97535","e7Xzq-y+bwbE/<A","CA000002","<m|8rcZCs11nz>-","0","EpxLjf5*5SraMSRnIi;bx6Lr4BdHZ/","U99-|Bc1;yBw:th+5leYfKuEE;/prl","2026-08-28 23:32:33.000000","ifetMWNOKw8qxHvnycr,NvhI;ZkW;N","-1.28730","o0o/","CA000001","o/z15VeHmFZ;bGg;Pv/BbymgF-xOwh","Michael Jones","","","Laura Rodriguez","0ZobA58w","XQ","US","CA000004","M1+,*C51kXcnq6-ixN2IUhmv6lutJE","97*OgY|5KLqpqWq.wKahOszvGh+gdb","2027-02-23 21:43:01.000000","","0","5"
"97536","DJyf7|Ih<X.DIxi","CA000001","Z.SNLZioyV4ON5e","2","J|+ckdrmzCS.ibu.v3ZW|bDu9JYoe,","+=7Z>jH/U3+vpoG;9RdRPuBi+wGEtY","2026-11-04 13:46:16.000000","","6.27712","gQNT","CA000003","fZ.cHA,j9b6vCd8UmCEYpVmDoNOuQn","Peter Estes","","","Holly Randolph","B3i3:w;y","Mp","CA","CA000004","lB2j+eNEzmARjD1*q6U0xxkTBX3D8h","XZ1<vJqylu7MD|fy-zrLgb-P1bysIS","2026-10-28 16:34:04.000000","","1","2"
"97537","YVJ+:5kEj7a2Y5W","CA000003","VX+au/|/3X5Qsmi","4","cwPRZCbozKRritKer8yd-3diZR6ME|","IyLo5zQTgA-kv1zi*E/L-vg+8npymL","2026-11-03 04:44:29.000000","","-4.77409","t8aD","CA000002","JOty=C9BGGIQDdbUWIfTmJB,Jut-Q:","Steven Lopez","Kristina Odonnell","Jessica Underwood","Heather Martinez","o0b=.ZUa","83","US","CA000003","PFNHY9ocvQd>llrNnRn:5rzDBfyek;","jx|Lyt3i=6.ecevcYPPCp2:0C-=a=/","2026-05-20 14:27:37.000000","","5","1"
"97538","ERkzYc:,v=L4|;G","CA000004","AZXYCuwPbKz:Utb","0",">jQE-bbnEbqMQn=+J9-Bt+etq+*HR-","k+sb;0WEwGRtoXtEW;bNKZg0JrZw0t","2026-12-26 23:31:06.000000","","9.13431","<qpx","CA000003","z5bdGEmM-E6DZT8JWf-SR;JqWZEs+2","Meghan Morales","","Courtney Rocha","Mrs. Karen Brandt DVM","Y591s+NW","4L","CA","CA000001","O+X5P/4TSyL3:rCczd9gdLMjR0T3be","fU.O,cnEbZWvEg:4PZNV<Qals9P|l1","2026-09-30 04:19:12.000000","2027-02-09 04:59:54.000000","3","5"
"97539","4+SV<UIJfuRWy8z","CA000004","QZ6wh>/*whrbUAx","4","nC8|VjxCkx9Z+DLsS7uax-AfbS>K<2","++<Cl+1eh1FY7*S|ee<uuoM28Nzvrs","2026-08-11 07:53:17.000000","","-1.87284","j|q-","CA000001","cep:dc/4JAl3EvSw6s+i:KTl>NhD-F","Emily Hernandez","","","Susan Brown","yk/gq+.l","s,","US","CA000004","swcpEvcHKTxx:XPo-WRSq<vo-+:10x","1xmepF3Z94ieVqUdzDMvf.p,FD3|-:","2027-02-04 15:14:00.000000","","5","1"
"97540","*q=.QWuX;chpZbp","CA000001","G-1xZP;|<hJMEG|","1","LD7GVGmv;tJc>=2H*=b0jCG3WEfi8;","6iW+-z/XUGOe*-yxL<8NGk|4rUyP+U","2026-06-17 19:53:21.000000","","4.84468","ra*d","CA000004","9fQ0PVByZ.:Ws0,EwNCQYpWRD5i0u1","Alexandra Mitchell","Carla Greer","","Ernest Oliver","+dEt9JpE","6V","US","CA000001","C-E3EHpNP,S8T0PpueK/3nCp4tDZNZ","zqQ+6|J-/|J=Unw9<Yi/EQW045Y>NH","2026-10-11 06:47:51.000000","","1","2"
"97541","cQjp7Vmn=-|ZCR-","CA000001","yMLHLJrKHXB*f7F","2","ecLx7J+r>PHkbo9O1svR/lDoYiZ-Z5","Pq8<eLs|WeZsWpdZrNzuhZM15bJ6Qg","2027-01-08 16:40:35.000000","","1.10374","<1IE","CA000003","ljjWeTpLG8y1pcaceP;Gb/decyY.TG","Thomas Miller","","Paul Khan","Madison Powell","qPnc:BF6","-H","CA","CA000001","TIG.m+2f/V|nPKQLHy3oq:fi7=Ci4v","tB>c6nm5ryG+S|+JWw,yyyAcMmpd5=","2026-10-17 23:50:10.000000","","1","5"
